"Country","Manufacturer","Commercial_Name","Category","CO2_Emissions","Mass","Fuel_Type","Fuel_Mode","Engine_Capacity","Innovative_Technology","CO2_Reduction","Year"
"DE","DACIA","LOGAN","M1",116,1213,"petrol","M",898,"",NA,2014
"AT","SKODA","OCTAVIA","M1",104,1342,"diesel","M",1598,"",NA,2014
"BE","DAIMLER AG","R 350 CDI 4MATIC","M1",223,2310,"diesel","M",2987,NA,NA,2011
"AT","SKODA","SUPERB","M1",149,1656,"diesel","M",1968,"",NA,2014
"HU","SKODA","OCTAVIA","M1",121,1272,"petrol","M",1395,"",NA,2013
"GR","VOLKSWAGEN","GOLF","M1",115,1251,"petrol","M",1197,"",NA,2013
"GB","AUDI AG","A1 S LINE TFSI S-A","M1",122,1200,"petrol","M",1390,NA,NA,2011
"GR","AUTOMOBILES CITROEN","DS3","M1",136,1150,"petrol","M",NA,NA,NA,2011
"LU","FORD WERKE GMBH","FOCUS","M1",109,1406,"diesel","M",1560,NA,NA,2011
"HU","AUTOMOBILES CITROEN","DS3","M1",95,1160,"diesel","M",1560,"",NA,2013
"CZ","HYUNDAI CZECH","ix 35","M1",180,1676,"diesel","M",1995,"",NA,2014
"PL","AUTOMOBILES CITROEN","C4","M1",145,1353,"petrol","M",1598,"",NA,2014
"HU","MAGYAR SUZUKI","SWIFT","M1",116,1065,"petrol","M",1242,"",NA,2013
"GB","VOLKSWAGEN","GOLF GTD S-A","M1",142,1431,"diesel","M",1968,NA,NA,2012
"IT","DAIMLER AG","R 320 CDI 4MATIC","M1",253,2290,"diesel","M",2987,NA,NA,2010
"DE","BMW AG","3ERREIHE","M1",149,1524,"petrol","M",1997,"",NA,2013
"DE","RENAULT","MEGANE","M1",175,1505,"petrol","M",1598,NA,NA,2012
"FI","TOYOTA","RX450H","M1",145,2185,"petrol","M",3456,NA,NA,2011
"DE","SEAT","EXEO","M1",184,1475,"petrol","M",1781,NA,NA,2011
"PL","DACIA","LOGAN","M1",120,1165,"lpg","B",1149,"",NA,2013
"DE","FORD WERKE GMBH","B-MAX","M1",114,1279,"petrol","M",998,"",NA,2014
"CZ","DAIMLER AG","S 350 CDI L 4MATIC","M1",211,2070,"diesel","M",2987,NA,NA,2010
"PL","AA-IVA","ALFA GIULIETTA","M1",134,1393,"petrol","M",1368,NA,NA,2011
"DE","JAGUAR LAND ROVER LIMITED","RANGE ROVER SPORT","M1G",298,2402,"petrol","M",4999,"",NA,2013
"BE","FIAT GROUP AUTOMOBILES SPA","ALFA GIULIETTA","M1",121,1380,"petrol","M",1368,NA,NA,2012
"GB","MAZDA","6 BUSINESS LINE D","M1",133,1430,"diesel","M",2183,NA,NA,2012
"SK","SEAT","ALHAMBRA","M1",143,1774,"diesel","M",1968,NA,NA,2012
"DK","SEAT","IBIZA","M1",139,1075,"petrol","M",1390,NA,NA,2011
"IT","AUTOMOBILES CITROEN","C3","M1",87,1155,"diesel","M",1398,NA,NA,2012
"DE","JAGUAR","JAGUARXF","M1",159,1940,"diesel","M",2993,NA,NA,2012
"AT","RENAULT","MODUS","M1",114,1321,"diesel","M",1461,NA,NA,2010
"DK","MITSUBISHI MOTORS CORPORATION","Mitsubishi ASX","M1",135,1359,"petrol","M",1590,"",NA,2013
"GB","VOLVO","S40 SE D DRIVE","M1",99,1900,"diesel","M",1560,NA,NA,2011
"LU","AUTOMOBILES PEUGEOT","508","M1",130,1681,"diesel","M",1997,"",NA,2014
"IT","AUDI AG","A3 SPORTBACK","M1",123,1280,"petrol","M",1395,"",NA,2013
"PL","AUTOMOBILES CITROEN","BERLINGO","M1",164,1395,"petrol","M",1598,"",NA,2013
"FR","NISSAN","X-TRAIL","M1",168,1740,"diesel","M",1995,"",NA,2013
